id,smile,can_smiles
1,CC1=C(C)C=C(C=C1)NC(=O)C2=C(F)C=CC(F)=C2,CC1C=C(C=CC=1C)NC(=O)C1C=C(F)C=CC=1F
2,OB(O)C1=CC2C(=CC=C(F)C=2)N=C1,OB(O)C1C=NC2=CC=C(F)C=C2C=1
3,OCC(O)CN(c1sc(S)nn1)c2c(Cl)nc(Cl)nc2,OCC(O)CN(c1c[n]c(Cl)[n]c1Cl)c1[n][n]c(S)[s]1
4,OC(=O)COC1=C(Br)C=C(C=C1Br)/C=C2C(=O)NC(=O)N\2,OC(=O)COC1C(Br)=CC(=CC=1Br)/C=C1/NC(=O)NC/1=O
5,CN[C@@H]1CN(CCCC1)C(=O)OCC2=CC=CC=C2,CN[C@@H]1CN(CCCC1)C(=O)OCC1C=CC=CC=1
6,Cl.Cl.N1CCN(CC1)CC2SC3C(=CC=CC=3)N=2,Cl.Cl.C(C1=NC2=CC=CC=C2S1)N1CCNCC1
7,FC1=CC=C(C=C1)CS(=O)(=O)N2C(C)CN(CC2)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CC(C)N(CC1)S(=O)(=O)CC1C=CC(F)=CC=1
8,COCC(C)N1C(COC2C(F)=CC=CC=2)=NN=C1S,COCC(C)N1C(COC2=CC=CC=C2F)=NN=C1S
9,OCC1CC2(CC(=O)C2)C1,OCC1CC2(C1)CC(=O)C2
10,CC(C)CN(S(=O)(C)=O)N1C(=S)SCC1=O,CS(=O)(=O)N(CC(C)C)N1C(=S)SCC1=O
11,FC1=CC=C(C=C1)C(=O)[C@H]2[C@]3(C4=C(C=CC=C4)NC3=O)[C@]5([H])N(C6=C(C=C(C)C=C6)C=C5)[C@@H]2C(=O)C7=CC=CC=C7,CC1=CC2C=C[C@H]3N([C@@H]([C@@H](C(=O)C4C=CC(F)=CC=4)[C@@]43C3C=CC=CC=3NC4=O)C(=O)C3C=CC=CC=3)C=2C=C1
12,Cc1ccc(cc1)S(=O)(=O)c2c(=O)nc(=S)nc2,Cc1ccc(cc1)S(=O)(=O)c1c[nH]c(=S)[nH]c1=O
13,N#CC1C(SC)=NC(=CC=1)C2CC2,CSC1=NC(=CC=C1C#N)C1CC1
14,NC1=CN(N=C1)CCN2C(=O)C3=C(C=CC=C3)C2=O,NC1=CN(CCN2C(=O)C3C=CC=CC=3C2=O)N=C1
15,O=C(CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NCCCC[C@@H](C(=O)NCCSS(=O)(C)=O)NC(=O)C3=C(F)C(F)=C(N=[N+]=[N-])C(F)=C3F,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NC(=O)C1C(F)=C(F)C(N=[N+]=[N-])=C(F)C=1F
16,CC1C=C2C(=CC=1C)N=C(C3OC=CC=3)N2,CC1C=C2N=C(NC2=CC=1C)C1=CC=CO1
17,OCCCN(CCNC(C)=O)S(=O)(C)=O,CC(=O)NCCN(CCCO)S(C)(=O)=O
18,CCCNC(C1C=NC=CC=1)C2C(F)=CC(F)=CC=2,CCCNC(C1=CC=C(F)C=C1F)C1C=NC=CC=1
19,CC1N=C(ON=1)C2C=NC(=CC=2)N3CC(CCC3)C(=O)N4CCSCC4,CC1=NOC(=N1)C1C=NC(=CC=1)N1CC(CCC1)C(=O)N1CCSCC1
20,ClC1C=C(C=CC=1)C(=O)NC2=NC(=NN2)C(F)(F)F,O=C(NC1NN=C(N=1)C(F)(F)F)C1=CC(Cl)=CC=C1
21,CC(=O)OC[C@@H]1[C@](CC(=O)[O-])(OC(C)=O)[C@H](OC(C)=O)[C@H](O)C(F)O1,CC(=O)O[C@@H]1[C@H](O)C(F)O[C@H](COC(C)=O)[C@]1(CC([O-])=O)OC(C)=O
22,Br.NC1SC(=C(C)N=1)CC2C(F)=C(Cl)C=CC=2,Br.CC1N=C(N)SC=1CC1=CC=CC(Cl)=C1F
23,COC1C=C(OC)C(=CC=1)C(=O)C2=NC=C(C)C=C2,CC1C=CC(=NC=1)C(=O)C1=CC=C(C=C1OC)OC
24,BrCC(=O)NCCN1CCCCCC1,O=C(CBr)NCCN1CCCCCC1
25,OC(=O)C(O)=O.C1CN(CC1)CC#CCON2C(=O)C3C(=CC=CC=3)C2=O,OC(=O)C(O)=O.O=C1C2=CC=CC=C2C(=O)N1OCC#CCN1CCCC1
26,COC(=O)C(C)=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(C(=O)OC)=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
27,ClCCCc1ccc(OCc2ccccc2)cc1,ClCCCc1ccc(cc1)OCc1ccccc1
28,CCOC(=O)C(/C#N)=N/OC(=[N+](C)C)N1CCOCC1.F[P-](F)(F)(F)(F)F,CCOC(=O)/C(/C#N)=N/OC(N1CCOCC1)=[N+](C)C.F[P-](F)(F)(F)(F)F
29,CCOC1C(=CC=CC=1)C(=O)N2CCOCC2,CCOC1=CC=CC=C1C(=O)N1CCOCC1
30,BrC1C=C2C(=NC=1)N=C(Cl)C(N)=C2,NC1=CC2=CC(Br)=CN=C2N=C1Cl
31,O=[N+]([O-])C1=C(N)C=C(C)C(N)=C1,CC1=CC(N)=C(C=C1N)[N+]([O-])=O
32,CCOC(=O)C1C=C(C(F)=CC=1)S(=O)(=O)F,CCOC(=O)C1=CC=C(F)C(=C1)S(=O)(=O)F
33,O=C1c2c(cccc2)CCC1Cc3sccn3,O=C1C(Cc2[n]cc[s]2)CCc2ccccc21
34,N#C/C=C/C1=CC(C)=C(OC2N=C(N=CC=2)NC3=CC=C(C=C3)CN4CCS(=O)(=O)CC4)C(C)=C1,CC1C=C(C=C(C)C=1OC1=CC=NC(NC2=CC=C(CN3CCS(=O)(=O)CC3)C=C2)=N1)/C=C/C#N
35,[H]Cl.COCC(N)=N,Cl.COCC(N)=N
36,NC(=[NH2+])NCCC[C@@H](NC(C)=O)C(=O)[O-],CC(=O)N[C@H](CCCNC(N)=[NH2+])C([O-])=O
37,CCCCCCCCCCCC(=O)NCCOC(=O)\C=C/C(O)=O,CCCCCCCCCCCC(=O)NCCOC(=O)/C=C\C(O)=O
