id,smile
701,COC1C(C(C)=O)=C(OC)C=C(Br)C=1
702,OC(=O)CNC(=O)[C@H](Cc1ccc(OC(C)(C)C)cc1)NC(=O)[C@H](Cc2ccc(OC(C)(C)C)cc2)NC(=O)OCC3c4c(cccc4)c5c3cccc5
703,CCCC(=O)N(CC(=O)c1ccccc1)c2c(cccc2)C(O)=O
704,CC1=CC(=C(C)C=C1)C2=C3N(N=C2C)C(=O)C(C(O)=O)=CN3
705,CC(C)OC(=O)CCc1ccc(OC)cc1
706,CC(C)OC1=CC=C(C=C1)C(=O)C2SC(=CC=2)C3OCCO3
707,CC(N)Cc1c2c(ccc1)cco2
708,ClC1=CC=C(C=C1)N2C(=O)\C(=C/NC3=CC4=C(C=C3)N(C)C(=O)N4C)C(=O)NC2=O
709,CC(C)C(N)C1=CC(=CC(Br)=C1)C(F)(F)F
710,COC(=O)C1=CC(NN)=C(C)C=C1
711,CN(C)CCCNC1CS(=O)(=O)C1
712,BrCCCN(C(C)CC(O)=O)S(=O)(=O)CC
713,O=C(NCCCCCCNC(=O)CCCC[C@H]1C2C(CS1)NC(=O)N2)CCSSc3ncccc3
714,CC(=O)C1=CC=C(C=C1)NC(=O)C2C(=O)OC3=C(C=C(Br)C=C3Br)C=2
715,FC1C(Br)=CC2=C(C=CN2)C=1
716,OC(=O)C1C(=CC=CC=1)C(=O)C2C(O)=C(I)C(O)=C(I)C=2
717,ClC1=CC2C(C=C1)=CC=C(\C=C\C3=CC(=CC=C3)[C@@H](C[C@H](O)C4C(=CC=CC=4)C(C)(C)O)SCC5(CC(=O)[O-])CC5)N=2
718,FC1C2=C(NCC2)C(Cl)=CC=1
719,C1=CC2=C(C=C1)C(=O)N(CCSC3C4C5=C(CCC5)SC=4N=CN=3)C2=O
720,O=C1C(=O)CCN(CC1)C2C(F)=C(F)C=CC=2
721,ClCC(=O)N(CC)C1CN(CC1)C(=O)OC(C)(C)C
722,Nc1cc2c(cc1)OCC(F)(F)C(F)(F)CO2
723,CCOC(=O)CC(=O)CN(c1c(Cl)ccc(Cl)c1)c2c(C)cc(Br)c(C)c2
724,CCOC1=CC=C(C=C1)C2C(=NON=2)NC(=O)C3=C(C)C4C(=CC=C(F)C=4)O3
725,C1[C@@H](O1)C2C[C@@H]3[C@H](CC2)O3
726,COC(=O)C(=O)CC(=O)C1=CC=C(C=C1)C2CCCCC2
727,F[B-](F)(F)F.F[B-](F)(F)F.C1CC(CC1)[PH+](CCCC[PH+](C2CCCC2)C3CCCC3)C4CCCC4
728,OC(=O)[C@H]1[C@@](OCCC1)(O)C(F)(F)F
729,Cc1ccc(cc1)[C@]23[C@@H](C(O)=O)[C@H](OC3)C2
730,OC(=O)C1=CC=C(C=C1)NC2=C(C3=CC=CC=C3)C(=O)C4=C2C=CC=C4
731,CCCCCCCCCCC(C(C)C)C(=O)[O-]
732,O[C@@H]1CN(CCC1)C2=NC3C(=CC=C([N+](=O)[O-])C=3)O2
733,OCC1N(C)N=C([N+](=O)[O-])C=1
734,OC1=CC(\C=C\C2=CC=CC=C2)=CC(O)=C1
735,OC(=O)C1=CC2=C(NC=C=C2)C=C1
736,BrC1C=NC(=CC=1)N2C(=O)CC(C)=N2
737,OCCOCCOCC/N=C(O)/CCCCC1SSCC1
738,O=[N+]([O-])C1=CC=C(C=C1)C(=O)CC(F)(F)F
739,CCOC(=O)C1C=C(OC)C(F)=CC=1
740,CC(C)(C)OC(=O)N1CC(CCC1)C2C=C(C=C(Cl)N=2)B3OC(C)(C)C(C)(C)O3
741,[H]Cl.CCOC(=O)C1C(C)NCCC1
742,CSC(F)(F)C(=O)C1OC(C)=CC=1
743,C=CCN(c1ccc(Cl)cc1)C2CN(CC2)C(=O)OC(C)(C)C
744,NC(=O)CN(c1ncccc1)c2c3c(nccn3)c(Br)cc2
745,CCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCC
746,N/N=C/C(=O)NCC(=O)NN
747,N#CC1C(=O)NC2C(=CC=CC=2)N=1
748,NCCC1(CCCCCC1)N(C)C
749,CCOc1sc(c(n1)c2ccccc2)S(=O)(=O)c3ccc(Cl)cc3
750,CC(C)(C)OC(=O)[C@@H]1N(C1)C(=O)OC(C)(C)C
751,COC1C=C2C(=CC=1)C(=O)N(CC(O)=O)C=N2
752,NCC(F)(F)CN1CC(O)C1
753,C(CCCCNCC(O)c1cc(CO)c(O)cc1)COCCCCc2ccccc2.OC(=O)c1ccc(C(O)=O)cc1
754,N#CC1=C(NN=C1)NCC2C(O)=C(OC)C=CC=2
755,O=[N+]([O-])c1ccc(cc1)CN(c2cc(ccc2)[N+](=O)[O-])c3c(cccc3)S(=O)(O)=O
756,O\N=C(/C1C(N)=NON=1)N2CC3=C(C=CC=C3)C2
757,CCCCCCCCC(C(O)=O)N(C(C)CC(O)=O)c1cc(ccc1)C(F)(F)F
758,COC1=CC2=C(C=C1)N(O)C(=O)[C@@H](O)O2
759,CCCCCCCCCCCCCCCCN(CC(=O)OCCC)Cc1cc(O)ccc1
760,COC(=O)C1C=C(C(F)(F)F)C(=CC=1)C(F)(F)F
761,O=C1C(F)(F)COC1
762,OP(=O)(O)OC[C@]1([H])[C@](O)([H])[C@](O)([H])[C@](O)([H])O1
763,OC(=O)[C@H]1C(C)(C)OC(=O)C1
764,Cl.OC(=O)[C@@H]1CC(CN1)N2CCCCC2
765,OC(=O)C1C=N(=O)C(C(O)=O)=CC=1
766,CCCC(=O)N(CC(=O)OC)N1C(=S)SCC1=O
767,COC(=O)C1(CC1)C2C=C(N)C=CC=2
768,CC(C)(C)OC(=O)NC1=C(C(O)=O)C=C(C)C=C1
769,O.O.O.O.[Mg+2].O=C([O-])C1C(O)=CC=CC=1
770,O=[N+]([O-])C1=CC=C(C=C1)CN2C=C(N=C2)C(=O)NC3=CC=CC=C3
771,[Na].OS(=O)(=O)c1c(N)c2c(c(Br)c1)C(=O)c3c(cccc3)C2=O
772,CCC1=CC=C(C=C1)C2N(C3=CC=C(C(O)=O)C=C3)C4=C(CCCC4)C=2
773,OCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
774,OCCN(c1ccc(C(O)=O)cc1)S(=O)(=O)c2c(C)cc(C)cc2C
775,CCC1=C2C(=CC=C1)C(=CN2)C(=O)CN3CC(OCC3)C4=CC=C(F)C=C4
776,NC1N=C(C)C(=CC=1)OC2C=C(N=CC=2)C3=CN(C)N=C3
777,FC1C=C(C=NC=1)C2=C(F)C(C(O)=O)=NC=N2
778,O=CC1=C(NC=C1)CC(O)=O
779,CC1=CC(=NC(N)=N1)C2N=C(C=CC=2O)C3=C(F)C(N)=NC=C3
780,CC(C)C1=CC(=CC=C1)C2C=C(Br)C=CC=2
781,CNCCCCCCNC
782,CN(C)C(/C)=N/CCN1C(Br)=C(Br)C(Br)=N1
783,BrCC1C(B(O)O)=CC(=CC=1)C(=O)C(C)Br
784,O=[N+]([O-])c1ccc(cc1)COC(=O)N(CCc2ccccc2)c3ccc(cc3)S(=O)(=O)Nc4ncccc4
785,c1ccc(cc1)COC2CC(C2)(C(C)=O)O[Si](C)(C)C(C)(C)C
786,COC1=CC2=C(OCC[C@H]2N)C=C1Cl
787,OCC1C(O)CCN1
788,COC(=O)CS(=O)(=O)C1=CC=C(N)C=C1
789,COC1=CC=C(C=C1)NC(=O)CC(=O)NC(C)CC2C=C(C=CC=2)C(F)(F)F
790,CCCCCCCCC(C(O)=O)N(CCCBr)C(=O)CC(=O)OCC
791,ClCCCCN(Cc1ccc([N+](=O)[O-])cc1)c2c3c(cccc3)nc4c2cccc4
792,Cl.NC1CC(C1)CN2S(=O)(=O)CCC2
793,CSC1=C(Br)C=C(C(C)=O)C=C1
794,N#CC1=C(N=CC=N1)C(O)=O
795,Cl.CCC(C)[C@H](N)[C@@H](O)C1=C(N)C=C([N+](=O)[O-])C=C1
796,CC(C)OC1=CC(F)=C(Cl)C=C1
797,COC1=C(Cl)C=C2C(NC=C2)=N1
798,CSCC[C@H](NC(C)=O)C(=O)OC1C2=C(C=CC=C2)C=CC=1
799,O=C1c2c(NCCN1)nccc2
800,CC1=CC(=CC(C)=C1)NC(=O)CN2C3C(=C(C)N(CCC4C5C(=CC=CC=5)NC=4)C(=O)C=3)C(=O)N2C6SC7=C(C=CC=C7)N=6
801,CCOC(=O)NC1=CC=C(C)C=C1
802,CC(=O)NCCN(c1cc([N+](=O)[O-])ccc1)C(C(F)(F)F)(F)C(F)(F)F
803,BrCCN(CC=C)c1c(C)cc(Br)c(C)c1
804,CCC1=CC=C(C=C1)C#C[C@H]2[C@H](O)CCC2
805,NCCc1c(Cl)c(O)ccc1Cl
806,C1=CC=C(C=C1)C2OC3C(=CC=CC=3C)CC2
807,ClC1=CC=C(C=C1)C#CC2(O)CCCC2
808,CCOC(=O)C(C(=O)OCC)N(CCNC(C)=O)Cc1sc(Cl)nc1
809,OC(=O)[C@@H]1CC(N)CN1
810,CCCCCCC(C(O)=O)N(CC=C)CCBr
811,COC1=CC=C(C=C1)C2=C(C#N)C(N)=C(C#N)C(=C2)C3CC3
812,CC(C)c1cc2c(CCC[C@H]2N)cc1
813,CC(C)N1C=C(Br)N=N1
814,Nc1sc(nn1)SC2C(=O)OCC2
815,CC(C)OCCCNC(=O)C1N(CC(F)(F)F)N=CC=1N
816,NCC(O)C12CC(CC2)CC1
817,CCCCCCN(c1ccc(cc1)S(=O)(=O)N([Na])c2nc3c(cccc3)nc2)c4c(C)cccc4
818,OC(=O)CC(C)N(c1ccc(cc1)S(=O)(=O)Nc2ncccn2)c3c(Cl)nc(Cl)nc3
819,OC(=O)C1C(=CC=CC=1)C2C=C(F)C(F)=CC=2
820,[Na+].O=S([O-])C(F)(F)F
821,COC1C2=C(C=CC=1)C=CC(C(F)(F)F)=N2
822,OC(=O)[C@@](NC(=O)OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)([H])CC4C5C(=CC=CC=5)SC=4
823,COC1=CC2=C(C=C1)CC(N3CCN(C)CC3)C4=C(C=CC(OC)=C4)S2
824,O=C(Cl)CC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
825,CC(O)C1C=C(Cl)C=CN=1
826,CCOC(=O)C1=C(N=C(N)O1)C2CC2
827,CC1=CC(=CC=C1)CC2(CO)CCN(C(=O)OC(C)(C)C)CC2
828,COC1C(NC(=O)C2OC=CC=2)=CC(C(O)=O)=CC=1
829,NCCCC[C@@H](C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(O)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]3N(CCC3)C(=O)[C@H](C(C)C)NC(=O)[C@@H](N)CC4=CC=CC=C4
830,FC1=CC=C(C=C1)N2C(=O)CC(N)C2
831,O=C(OCC1=CC=CC=C1)NC(O)C(F)(F)F
