id,smile
1,CC1=C(C)C=C(C=C1)NC(=O)C2=C(F)C=CC(F)=C2
2,OB(O)C1=CC2C(=CC=C(F)C=2)N=C1
3,OCC(O)CN(c1sc(S)nn1)c2c(Cl)nc(Cl)nc2
4,OC(=O)COC1=C(Br)C=C(C=C1Br)/C=C2C(=O)NC(=O)N\2
5,CN[C@@H]1CN(CCCC1)C(=O)OCC2=CC=CC=C2
6,Cl.Cl.N1CCN(CC1)CC2SC3C(=CC=CC=3)N=2
7,FC1=CC=C(C=C1)CS(=O)(=O)N2C(C)CN(CC2)C(=O)OC(C)(C)C
8,COCC(C)N1C(COC2C(F)=CC=CC=2)=NN=C1S
9,OCC1CC2(CC(=O)C2)C1
10,CC(C)CN(S(=O)(C)=O)N1C(=S)SCC1=O
11,FC1=CC=C(C=C1)C(=O)[C@H]2[C@]3(C4=C(C=CC=C4)NC3=O)[C@]5([H])N(C6=C(C=C(C)C=C6)C=C5)[C@@H]2C(=O)C7=CC=CC=C7
12,Cc1ccc(cc1)S(=O)(=O)c2c(=O)nc(=S)nc2
13,N#CC1C(SC)=NC(=CC=1)C2CC2
14,NC1=CN(N=C1)CCN2C(=O)C3=C(C=CC=C3)C2=O
15,O=C(CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)NCCCC[C@@H](C(=O)NCCSS(=O)(C)=O)NC(=O)C3=C(F)C(F)=C(N=[N+]=[N-])C(F)=C3F
16,CC1C=C2C(=CC=1C)N=C(C3OC=CC=3)N2
17,OCCCN(CCNC(C)=O)S(=O)(C)=O
18,CCCNC(C1C=NC=CC=1)C2C(F)=CC(F)=CC=2
19,CC1N=C(ON=1)C2C=NC(=CC=2)N3CC(CCC3)C(=O)N4CCSCC4
20,ClC1C=C(C=CC=1)C(=O)NC2=NC(=NN2)C(F)(F)F
21,CC(=O)OC[C@@H]1[C@](CC(=O)[O-])(OC(C)=O)[C@H](OC(C)=O)[C@H](O)C(F)O1
